association	dataset	threshold value	standardized value
H3K4me3_mammary epithelial cell_hg19_3	ENCODE Histone Modification Site Profiles	1.0	null
SMC3_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Primary somatosensory area, unassigned, layer 4	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.39973
Copula pyramidis, molecular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.14394
Brain Lower Grade Glioma_LGG_TCGA-FG-7643-01A-11R-2090-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
SIN3A	ENCODE Transcription Factor Targets	1.0	null
GTEX-P4QT-1626-SM-2S1NP	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
HCC1263	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.27164
Pancreas	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	1.0	0.82565
differentiation	GeneRIF Biological Term Annotations	1.0	null
GTEX-WFON-2326-SM-3LK7M	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
liver_c	HPA Tissue Sample Gene Expression Profiles	-1.0	-1.12776
SUCLG1	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me3_Caco-2_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
Kidney renal papillary cell carcinoma_KIRP_TCGA-A4-8098-01A-11R-2404-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
MAX_ECC-1_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Skin Cutaneous Melanoma_SKCM_TCGA-GN-A26A-06A-11R-A18T-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
NCI-H378	GDSC Cell Line Gene Expression Profiles	1.0	1.74521
BRCA1_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
striatum_8 yrs_M_12841	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.34167
H3K4me3_fibroblast of skin of abdomen_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
families	GeneRIF Biological Term Annotations	1.0	null
anterior pretectal nucleus, ventral superficial part	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.1162
GTEX-XLM4-0011-R10A-SM-4AT5P	GTEx Tissue Sample Gene Expression Profiles	1.0	1.28873
NCI-H1435	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Mutation Profiles	1.0	null
Kidney renal clear cell carcinoma_KIRC_TCGA-BP-4347-01A-01R-1289-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
kidney	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.054099
YY1_GM12892_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
primary motor cortex (area M1, area 4)_12 pcw_F_12960	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.0662
BRD-K34761198	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.57671
endosome membrane	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
H3K4me3_HEK293_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me3_astrocyte of the spinal cord_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
MDA-MB-468	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.16909
diagnosis	GeneRIF Biological Term Annotations	1.0	null
ELFN1	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K86600397	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.40897
CKAP4	Pathway Commons Protein-Protein Interactions	1.0	null
nucleus subcoeruleus, r1 part	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	2.26541
Lung squamous cell carcinoma_LUSC_TCGA-66-2766-01A-01R-0851-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
TFAP2A_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
component	GeneRIF Biological Term Annotations	1.0	null
cytoplasmic part	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
BRD-K73952959	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.6554
sublayer 6b of FCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.20254
COLO 800	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.916692
supramammillary nucleus, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	0.888942
disorder	GeneRIF Biological Term Annotations	1.0	null
italian	GeneRIF Biological Term Annotations	1.0	null
H3K27me3_cardiac mesoderm_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
USP36	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-U8XE-0726-SM-3DB8O	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Kidney renal clear cell carcinoma_KIRC_TCGA-BP-4798-01A-01R-1305-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
SARC9371	COSMIC Cell Line Gene Mutation Profiles	1.0	null
TXN	Pathway Commons Protein-Protein Interactions	1.0	null
Membrane Trafficking	Reactome Pathways 2024	1.0	null
CAMA1	CCLE Cell Line Gene CNV Profiles	1.0	1.49409
nucleus of Barrington	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.29785
H3K4me3_MCF-7_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
dcdc2	GeneRIF Biological Term Annotations	1.0	null
brain	GTEx Tissue Gene Expression Profiles	1.0	1.51322
KPL-4	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.15882
H3K4me3_choroid plexus epithelial cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
BRD-K46014233	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.21824
NRF1_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
VZ in posteroinferior (ventral) parietal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.36579
TEX2	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-4745-3p	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.843347
BRD-K73494324	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.18761
HDAC2	ENCODE Transcription Factor Targets	1.0	null
abnormality of metabolism/homeostasis	GWASdb SNP-Phenotype Associations	1.0	0.042419
GTEX-QVUS-0011-R8A-SM-3GAD7	GTEx Tissue Sample Gene Expression Profiles	1.0	1.13826
GTEX-S3XE-1826-SM-3K2B4	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
amygdaloid complex_3 yrs_F_12836	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-0.884253
orbital frontal cortex_9 pcw_M_12833	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.3352
medial ganglionic eminence_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.32159
plasma membrane	GO Cellular Component Annotations 2015	1.0	null
NCI-H1869	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.06134
CTCF_K562_hg19_7	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Lobule III, granular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.01184
SMC6	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me3_retinal pigment epithelial cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-QMR6-1426-SM-32PLA	GTEx Tissue Sample Gene Expression Profiles	1.0	1.51865
CFL1	Pathway Commons Protein-Protein Interactions	1.0	null
Head and Neck squamous cell carcinoma_HNSC_TCGA-IQ-A61H-01A-11R-A30B-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-U8T8-2326-SM-3DB96	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
hsa-miR-548aa	TargetScan Predicted Conserved microRNA Targets	1.0	1.11641
MDA-MB-330	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	0.976633
CALU3	CCLE Cell Line Gene CNV Profiles	1.0	1.61074
trastuzumab_homo sapiens_gpl570_gse15043	GEO Signatures of Differentially Expressed Genes for Small Molecules	-1.0	null
GTEX-SNMC-1526-SM-2XCFN	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
H3K4me3_SK-N-SH_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-OXRK-0526-SM-3NB2F	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
dexamethasone_homo sapiens_gpl4133_gse42619	GEO Signatures of Differentially Expressed Genes for Small Molecules	1.0	null
H3K4me3_Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
HDAC2_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
ABCA9	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-QEG4-0626-SM-2S1OY	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
MDST8	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.2597
BRD-K92513859	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.50833
BRD-K75206417	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.48689
H3K4me3_A549_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
FOXA1-27270436-VCAP-HUMAN-PROSTATE-CARCINOMA	ChEA Transcription Factor Targets 2022	1.0	null
CTCF_SK-N-SH_hg19_4	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K43336921	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.01263
Purkinje cell layer of CbHCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.31399
Prelimbic area, layer 6a	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.49143
Cervical squamous cell carcinoma and endocervical adenocarcinoma_CESC_TCGA-DS-A3LQ-01A-21R-A21T-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
disease of metabolism	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	0.046793
embryonic	GeneRIF Biological Term Annotations	1.0	null
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	GO Biological Process Annotations 2023	1.0	null
GTEX-QDVJ-1826-SM-2S1P3	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Skin Cutaneous Melanoma_SKCM_TCGA-EE-A2MI-06A-11R-A18U-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Skin Cutaneous Melanoma_SKCM_TCGA-FS-A4F2-06A-11R-A24X-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
regulation of axon extension involved in regeneration	GO Biological Process Annotations 2023	1.0	null
IMR-32	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	0.981547
OCI-LY-19	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.12405
mediodorsal nucleus of thalamus_1 yrs_F_12830	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	0.868778
muscle	GTEx Tissue Gene Expression Profiles	-1.0	-0.891879
cyanocobalamin-4395	CMAP Signatures of Differentially Expressed Genes for Small Molecules	1.0	null
GTEX-R55E-0011-R11A-SM-2TC6I	GTEx Tissue Sample Gene Expression Profiles	1.0	1.86407
H3K4me3_CD4+ CD25int CD127+ Tmem Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
GTEX-QVUS-0011-R6A-SM-3GACX	GTEx Tissue Sample Gene Expression Profiles	1.0	1.01878
PREX2	Pathway Commons Protein-Protein Interactions	1.0	null
ability	GeneRIF Biological Term Annotations	1.0	null
gland	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.050309
SW684	COSMIC Cell Line Gene Mutation Profiles	1.0	null
BRD-K34604637	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-4.90325
HSD17B4	Pathway Commons Protein-Protein Interactions	1.0	null
regulation of neuron differentiation	GO Biological Process Annotations 2015	1.0	null
integral component of membrane	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.093686
Head and Neck squamous cell carcinoma_HNSC_TCGA-KU-A66S-01A-21R-A30B-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Lung adenocarcinoma_LUAD_TCGA-62-A46O-01A-11R-A24H-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
ZKSCAN1_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
dentate nucleus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.5535
BRD-K64509887	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.09514
TBX5	ChEA Transcription Factor Targets	1.0	null
CCAR2_02_86	KnockTF Gene Expression Profiles with Transcription Factor Perturbations	-1.0	-0.65208
GTEX-OXRK-0826-SM-2HMK7	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
H3K27me3_H7_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Uterus	BioGPS Human Cell Type and Tissue Gene Expression Profiles	-1.0	-0.980682
BRD-K52339692	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.90259
H3K27me3_NT2-D1_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-T2IS-2926-SM-32QPO	GTEx Tissue Sample Gene Expression Profiles	1.0	1.46397
MXI1_SK-N-SH_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
hsa-miR-636	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.809003
superficial stratum of THyB-V	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-2.78995
KDM4A_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
E2F4_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Head and Neck squamous cell carcinoma_HNSC_TCGA-CV-6951-01A-11R-1915-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
NCI-H1355	GDSC Cell Line Gene Expression Profiles	1.0	2.33118
GTEX-T5JC-0011-R8A-SM-32PLM	GTEx Tissue Sample Gene Expression Profiles	1.0	1.20808
H3K4me3_brain_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
intracellular organelle	LOCATE Predicted Protein Localization Annotations	1.0	null
r1 part of lateral pontine nuclei	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-2.20909
Sarcoma_SARC_TCGA-RN-A68Q-01A-11R-A30C-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
mediodorsal nucleus of thalamus_4 mos_M_12296	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	0.94633
A-498	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.31184
G142	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.54699
skeletalmuscle_a	HPA Tissue Sample Gene Expression Profiles	-1.0	-1.12776
Primary somatosensory area, mouth	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.25267
U118MG	CCLE Cell Line Gene Expression Profiles	-1.0	-1.82047
C20orf57	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-X585-0011-R10A-SM-46MUY	GTEx Tissue Sample Gene Expression Profiles	1.0	1.40132
ALPK3	Pathway Commons Protein-Protein Interactions	1.0	null
A427	GDSC Cell Line Gene Expression Profiles	1.0	1.41862
cerebral white matter	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.963767
BRD-K10486333	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.79008
H3K4me1_CD4+ CD25int CD127+ Tmem Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
cell	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.305143
BRD-K88925664	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.04472
VZ in primary somatosensory cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.15645
Brain Lower Grade Glioma_LGG_TCGA-FG-A713-01A-11R-A32Q-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me3_K562_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
brain	TISSUES Experimental Tissue Protein Expression Evidence Scores	1.0	0.766457
BRD-K03901181	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.48016
stratum pyramidale of caudal CA1	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	1.6233
H3K4me3_HL-60_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me3_Brain Germinal Matrix	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
GTEX-UTHO-0008-SM-4JBID	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-T2IS-3026-SM-32QPM	GTEx Tissue Sample Gene Expression Profiles	1.0	1.0926
speech disorder	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	1.18712
JURKAT	COSMIC Cell Line Gene Mutation Profiles	1.0	null
CTCF_Caco-2_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
ELK1	ENCODE Transcription Factor Targets	1.0	null
POLR2AphosphoS2_CH12.LX_mm9_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Copula pyramidis	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.2471
H3K4me3_GM12875_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
mantle zone of r2Co	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.62863
A2058	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	0.832339
Lung adenocarcinoma_LUAD_TCGA-50-5072-01A-21R-1858-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-P44H-0011-R11A-SM-2XCER	GTEx Tissue Sample Gene Expression Profiles	1.0	1.61162
ZNF586	Pathway Commons Protein-Protein Interactions	1.0	null
H3K27ac_CD4+ CD25- CD45RA+ Naive Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
BRD-K57616143	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.00063
BRD-K97869597	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.36271
BACH1	ENCODE Transcription Factor Targets	1.0	null
MFHAS1	Pathway Commons Protein-Protein Interactions	1.0	null
detected	GeneRIF Biological Term Annotations	1.0	null
organelle membrane	GO Cellular Component Annotations 2015	1.0	null
CTCF_B cell_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
POU2F2	JASPAR Predicted Transcription Factor Targets	1.0	null
MG-63	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.870024
gracile nucleus, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.00027
FOSL2_MCF-7_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
hsa-miR-4703-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.0155
dorsolateral prefrontal cortex_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.57421
hypersensitivity reaction disease	GWASdb SNP-Disease Associations	1.0	0.109739
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	-1.0	-0.919065
GTEX-X4XX-0011-R11A-SM-46MWQ	GTEx Tissue Sample Gene Expression Profiles	1.0	1.12425
GTEX-T5JC-0011-R4A-SM-32PLT	GTEx Tissue Sample Gene Expression Profiles	1.0	1.02529
BRD-K69408624	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.17785
BRD-K72800151	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.87576
migrational	GeneRIF Biological Term Annotations	1.0	null
CA1 field, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	2.06711
ATP6V1D	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K20377072	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.52173
H3K4me3_iPS DF 19.11	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
KURAMOCHI	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	0.914915
Pyramus (VIII), granular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.33305
Prostate adenocarcinoma_PRAD_TCGA-XQ-A8TA-01A-11R-A36G-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-PVOW-2726-SM-48TCA	GTEx Tissue Sample Gene Expression Profiles	1.0	0.916029
bipolar disorder	GWASdb SNP-Disease Associations	1.0	0.516571
layer 3 of InsCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.19377
regulation of dendrite development	GO Biological Process Annotations 2015	1.0	null
MDA-MB-436	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.06147
CTCF_GM12873_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
cellular process	GO Biological Process Annotations 2015	1.0	null
H3K4me3_placenta_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
MET_knockout_262_GSE8747	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	1.0	1.60352
Alzheimer Disease	DisGeNET Gene-Disease Associations	1.0	null
TBX2-30127528-KELLY-HUMAN-BRAIN-NEUROBLASTOMA	ChEA Transcription Factor Targets 2022	1.0	null
depression	GWASdb SNP-Phenotype Associations	1.0	0.349276
THP1	CCLE Cell Line Gene CNV Profiles	-1.0	-2.06573
WIPF1	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-PSDG-0826-SM-48TCZ	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
hsa-miR-205	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.809003
r3 roof plate	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.1009
H3K4me3_Skeletal Muscle	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
Acute Myeloid Leukemia_LAML_TCGA-AB-2818-03A-01T-0734-13	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
NCI-H2030	GDSC Cell Line Gene Expression Profiles	1.0	1.42671
POLR2AphosphoS5_neural cell_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K20157822	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.61006
behavioral abnormality	GWASdb SNP-Phenotype Associations	1.0	0.241189
NO-10	COSMIC Cell Line Gene CNV Profiles	1.0	2.93899
H3K4me1_Adipose Derived Mesenchymal Stem Cell Cultured Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
sublayer 6a of InsCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.25903
GTEX-R55E-2726-SM-48FCX	GTEx Tissue Sample Gene Expression Profiles	1.0	0.919536
TNPO1	Pathway Commons Protein-Protein Interactions	1.0	null
KDM5A	ENCODE Transcription Factor Targets	1.0	null
HK1	Pathway Commons Protein-Protein Interactions	1.0	null
CP in caudal subicular cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	1.70021
H3K4me2_mammary epithelial cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
articulation disorder	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	1.30052
H3K4me3_osteoblast_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
emboliform nucleus, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.68007
SIN3A_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
ZNF217	ENCODE Transcription Factor Targets	1.0	null
OKAJIMA	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.04513
G122	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.957358
GTEX-XYKS-0002-SM-4BRWN	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
salivarygland_6c	HPA Tissue Sample Gene Expression Profiles	-1.0	-1.12776
H3K4me3_limb_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-WL46-2826-SM-3LK81	GTEx Tissue Sample Gene Expression Profiles	1.0	1.26689
any	GeneRIF Biological Term Annotations	1.0	null
NCIH1355	CCLE Cell Line Gene Expression Profiles	1.0	1.56808
GTEX-S7SE-2526-SM-2XCDL	GTEx Tissue Sample Gene Expression Profiles	1.0	1.10922
pyramidal layer of caudal subiculum	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	1.7548
THP-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.45164
JUN	Pathway Commons Protein-Protein Interactions	1.0	null
bendroflumethiazide-3840	CMAP Signatures of Differentially Expressed Genes for Small Molecules	1.0	null
Primary somatosensory area, upper limb, layer 6b	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.01342
superficial layers of caudal presubiculum	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	1.28495
BRD-K36365616	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.00831
RELA	ENCODE Transcription Factor Targets	1.0	null
orbital frontal cortex_2 yrs_F_12979	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-0.838693
CTBP1	Pathway Commons Protein-Protein Interactions	1.0	null
suggested	GeneRIF Biological Term Annotations	1.0	null
IGF2BP2	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K37601439	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.0988
MYC-19829295-ESCS-HUMAN	ChEA Transcription Factor Targets 2022	1.0	null
MXI1_IMR-90_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
HDAC1	ENCODE Transcription Factor Targets	1.0	null
POLR2A_brain_mm9_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
HCC1599	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	-1.0	-0.912503
BRD-K42968343	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.45635
BRD-K76518272	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.38676
gigantocellular group, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-0.867282
DMS-114	COSMIC Cell Line Gene Mutation Profiles	1.0	null
remoxipride-6503	CMAP Signatures of Differentially Expressed Genes for Small Molecules	1.0	null
HMY-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.16909
